number,suit,pretitle,title,posttitle,tip,instrument,chord,notes
Q,♥,In the night,Midnight Magic,unfolds under the stars.,"Distortion Experiment - Add a touch of distortion to a track. Tube simulation, digital clipping, bit rate or sample rate reduction",FM Synth,viadd9,xx-x
K,♥,On this night,Spirit of the Wind,whispers tales of old.,Stereo Width - Play with the stereo width to enhance the mix. Use a plugin for width or hard pan some tracks,Wavetable Synth,Isus4,--xx
A,♦,In the light,Journey's End,marks a new beginning.,"Vocal Effects - Add effects like chorus, flanger, or autotune to vocals. These effects can enhance the vocal sound and create interesting textures.",Granular Synth,iisus4,xxxx
2,♦,The way,Brave Hearts,march to the beat of courage.,Use a Different Scale - Write a melody using a different musical scale. Exploring different scales can lead to new melodic ideas.,String Ensemble (Synth),iiisus4,----
3,♦,When the,Whispering Waves,sing songs of the deep.,"Focus on Articulation - Adjust the articulation of a specific instrument. Edit the velocity, or track mod wheel automation.",Brass Synth,IVsus4,x---
4,♦,To the end,Eternal Hope,lights the darkest path.,"Reverb Settings - Change the reverb settings to alter the space. Spring, metallic slap back, long convolution, airy reverb, reverb feedback",Choir Synth,Vsus4,--x-
5,♦,As long as,Windswept Melodies,carry the tunes of freedom.,"Try a New Instrument - Incorporate an instrument you haven't used before. This could be a household item,  Maybe something in the kitchen?",Electric Piano (Synth),visus4,x-x-
6,♦,With every,Echoing Silence,speaks louder than words.,Automation - Use automation to create dynamic changes over time. Drop to silence for a beat.  Slowly diminish then enter loud.,Retro Synth,I5,----
7,♦,Our hearts,Dancing with Destiny,in the waltz of time.,Syncopation - Add syncopated rhythms to your project. Clave pattern?,Modular Synth,ii5,x---
8,♦,On this journey,Rhythms of the Rain,compose nature's symphony.,"Glitch Effects - Add some glitch effects for a modern touch. Stutter, granular, tape stop",White Noise (Synth),iii5,--x-
9,♦,Through the storm,Whispered Lullabies,ease the restless heart.,"Foley Sounds - Record and use foley sounds in your project. Layer rhythm, tapping on your desk, clicking a pen.",Sub Bass (Synth),IV5,x-x-
10,♦,Beyond the stars,Endless Ocean,mirrors the boundless soul.,Alternate Tunings - Experiment with alternate tunings for guitars or other instruments. Or change the scale on your midi controller.,Lead Arpeggio (Synth),V5,----
J,♦,Until forever,Tranquil Nights,embrace the weary traveler.,Layer Different Genres - Blend elements from two different genres. This can create a fusion of styles that is unique and innovative.,Ambient Synth,vi5,x---
Q,♦,Love and,Wild Hearts,chase dreams with abandon.,Create a Pad - Add a pad sound for atmospheric depth. Pads can fill out the background and create a lush soundscape.,Techno Synth,Imaj9,--x-
K,♦,Whisper and,Embrace the Fire,let it fuel your spirit.,Final Review - Do a final review and polishing of your project. This is the time to make sure everything sounds perfect before considering it complete.,Dubstep Wobble (Synth),I6/9,x-x-
